nome;is_person;role_detail;role_group;numero_episodio;normalized_name;normalized_name_with_nickname;imdb_nconst_88;nome_corretto_imdb_88;imdb_action_88;imdb_nconst_90;nome_corretto_imdb_90;imdb_action_90;imdb_nconst_92;nome_corretto_imdb_92;imdb_action_92;imdb_nconst_94;nome_corretto_imdb_94;imdb_action_94;imdb_nconst_96;nome_corretto_imdb_96;imdb_action_96;imdb_nconst_98;nome_corretto_imdb_98;imdb_action_98;imdb_nconst_99;nome_corretto_imdb_99;imdb_action_99;HUMAN nome imdb corretto;HUMAN codice imdb corretto
Laura Branchini;TRUE;Produzione Indigo Film;Additional Crew;La grande bellezza;laura branchini;;nm6181343;Laura Branchini;A;nm6181343;Laura Branchini;A;nm6181343;Laura Branchini;A;nm6181343;Laura Branchini;A;nm6181343;Laura Branchini;A;nm6181343;Laura Branchini;A;nm6181343;Laura Branchini;A;;
LARRY CARNEY;TRUE;Production and Post Production Facilities Furnished Through;Additional Crew;Apocalypse Now;larry carney;;;LARRY CARNEY;X;;LARRY CARNEY;X;;LARRY CARNEY;X;;LARRY CARNEY;X;;LARRY CARNEY;X;;LARRY CARNEY;X;;LARRY CARNEY;X;;
Lucile Brun;TRUE;Produzione Pathé;Additional Crew;La grande bellezza;lucile brun;;nm7553415;Lucile Brun;A;nm7553415;Lucile Brun;A;nm7553415;Lucile Brun;A;nm7553415;Lucile Brun;A;nm7553415;Lucile Brun;A;nm7553415;Lucile Brun;A;nm7553415;Lucile Brun;A;;
Antonella Anselmo;TRUE;Produzione Indigo Film;Additional Crew;La grande bellezza;antonella anselmo;;nm5255847;Antonella Anselmo;A;nm5255847;Antonella Anselmo;A;nm5255847;Antonella Anselmo;A;nm5255847;Antonella Anselmo;A;nm5255847;Antonella Anselmo;A;nm5255847;Antonella Anselmo;A;nm5255847;Antonella Anselmo;A;;
Alix Gugenheim;TRUE;Produzione Babe Films;Additional Crew;La grande bellezza;alix gugenheim;;nm3407284;Alix Gugenheim;A;nm3407284;Alix Gugenheim;A;nm3407284;Alix Gugenheim;A;nm3407284;Alix Gugenheim;A;nm3407284;Alix Gugenheim;A;nm3407284;Alix Gugenheim;A;nm3407284;Alix Gugenheim;A;;
Maria Soledad Marchi;TRUE;Stagisti;Additional Crew;La grande bellezza;maria soledad marchi;;nm6040611;Maria Soledad Marchi;A;nm6040611;Maria Soledad Marchi;A;nm6040611;Maria Soledad Marchi;A;nm6040611;Maria Soledad Marchi;A;nm6040611;Maria Soledad Marchi;A;nm6040611;Maria Soledad Marchi;A;nm6040611;Maria Soledad Marchi;A;;
Alessandra Cevenini;TRUE;Produzione Indigo Film;Additional Crew;La grande bellezza;alessandra cevenini;;nm1062071;Alessandra Cevenini;A;nm1062071;Alessandra Cevenini;A;nm1062071;Alessandra Cevenini;A;nm1062071;Alessandra Cevenini;A;nm1062071;Alessandra Cevenini;A;nm1062071;Alessandra Cevenini;A;nm1062071;Alessandra Cevenini;A;;
Nadia Le Bayon;TRUE;Stagiaires;Additional Crew;Amelie;nadia le bayon;;;Nadia Le Bayon;X;;Nadia Le Bayon;X;;Nadia Le Bayon;X;;Nadia Le Bayon;X;;Nadia Le Bayon;X;;Nadia Le Bayon;X;;Nadia Le Bayon;X;;
LAWRENCE ANDREWS;TRUE;Production and Post Production Facilities Furnished Through;Additional Crew;Apocalypse Now;lawrence andrews;;nm3987873;Lawrence Andrews;A;nm3987873;Lawrence Andrews;A;nm3987873;Lawrence Andrews;A;nm3987873;Lawrence Andrews;A;nm3987873;Lawrence Andrews;A;nm3987873;Lawrence Andrews;A;nm3987873;Lawrence Andrews;A;;
LEE BEAUPRE;TRUE;Marketing Director;Additional Crew;Apocalypse Now;lee beaupre;;nm0064660;Lee Beaupre;A;nm0064660;Lee Beaupre;A;nm0064660;Lee Beaupre;A;nm0064660;Lee Beaupre;A;nm0064660;Lee Beaupre;A;nm0064660;Lee Beaupre;A;nm0064660;Lee Beaupre;A;;
Odette Adamski;TRUE;Produzione Babe Films;Additional Crew;La grande bellezza;odette adamski;;nm6181368;Odette Adamski;A;nm6181368;Odette Adamski;A;nm6181368;Odette Adamski;A;nm6181368;Odette Adamski;A;nm6181368;Odette Adamski;A;nm6181368;Odette Adamski;A;nm6181368;Odette Adamski;A;;
Olivier Cottet-Puinel;TRUE;Produzione Pathé;Additional Crew;La grande bellezza;olivier cottet puinel;;nm7849220;Olivier Cottet-Puinel;A;nm7849220;Olivier Cottet-Puinel;A;nm7849220;Olivier Cottet-Puinel;A;nm7849220;Olivier Cottet-Puinel;A;nm7849220;Olivier Cottet-Puinel;A;nm7849220;Olivier Cottet-Puinel;A;nm7849220;Olivier Cottet-Puinel;A;;
NILS BRILLAT;TRUE;MOVE COORDINATORS;Additional Crew;Dark S01E09;nils brillat;;nm4964049;Nils Brillat;A;nm4964049;Nils Brillat;A;nm4964049;Nils Brillat;A;nm4964049;Nils Brillat;A;nm4964049;Nils Brillat;A;nm4964049;Nils Brillat;A;nm4964049;Nils Brillat;A;;
KRYSTAL WALTERS;TRUE;Production and Post Production Facilities Furnished Through;Additional Crew;Apocalypse Now;krystal walters;;nm0910286;Krystal Walters;A;nm0910286;Krystal Walters;A;nm0910286;Krystal Walters;A;nm0910286;Krystal Walters;A;nm0910286;Krystal Walters;A;nm0910286;Krystal Walters;A;nm0910286;Krystal Walters;A;;
Gianluca Jodice;TRUE;Backstage;Additional Crew;La grande bellezza;gianluca jodice;;;Gianluca Jodice;X;;Gianluca Jodice;X;;Gianluca Jodice;X;;Gianluca Jodice;X;;Gianluca Jodice;X;;Gianluca Jodice;X;;Gianluca Jodice;X;;
Antonio Silvestro;TRUE;Amministrazione per Pronos 94;Additional Crew;La grande bellezza;antonio silvestro;;nm6181375;Antonio Silvestro;A;nm6181375;Antonio Silvestro;A;nm6181375;Antonio Silvestro;A;nm6181375;Antonio Silvestro;A;nm6181375;Antonio Silvestro;A;nm6181375;Antonio Silvestro;A;nm6181375;Antonio Silvestro;A;;
Clémence Forestier;TRUE;Produzione Babe Films;Additional Crew;La grande bellezza;clemence forestier;;nm4536456;Clemence Forestier;A;nm4536456;Clemence Forestier;A;nm4536456;Clemence Forestier;A;nm4536456;Clemence Forestier;A;nm4536456;Clemence Forestier;A;nm4536456;Clemence Forestier;A;nm4536456;Clemence Forestier;A;;
Claudia Contento;TRUE;Stagisti;Additional Crew;La grande bellezza;claudia contento;;nm6040609;Claudia Contento;A;nm6040609;Claudia Contento;A;nm6040609;Claudia Contento;A;nm6040609;Claudia Contento;A;nm6040609;Claudia Contento;A;nm6040609;Claudia Contento;A;nm6040609;Claudia Contento;A;;
Mark Voit;TRUE;Stagiaires;Additional Crew;Amelie;mark voit;;;Mark Voit;X;;Mark Voit;X;;Mark Voit;X;;Mark Voit;X;;Mark Voit;X;;Mark Voit;X;;Mark Voit;X;;
JOSEPH ZAPPALA;TRUE;Production and Post Production Facilities Furnished Through;Additional Crew;Apocalypse Now;joseph zappala;;nm0953271;Joseph Zappala;A;nm0953271;Joseph Zappala;A;nm0953271;Joseph Zappala;A;nm0953271;Joseph Zappala;A;nm0953271;Joseph Zappala;A;nm0953271;Joseph Zappala;A;nm0953271;Joseph Zappala;A;;
JULIE KRAMER;TRUE;Production and Post Production Facilities Furnished Through;Additional Crew;Apocalypse Now;julie kramer;;;JULIE KRAMER;X;;JULIE KRAMER;X;;JULIE KRAMER;X;;JULIE KRAMER;X;;JULIE KRAMER;X;;JULIE KRAMER;X;;JULIE KRAMER;X;;
Elena Tramontano;TRUE;Amministrazione per Pronos 94;Additional Crew;La grande bellezza;elena tramontano;;nm3565150;Elena Tramontano;A;nm3565150;Elena Tramontano;A;nm3565150;Elena Tramontano;A;nm3565150;Elena Tramontano;A;nm3565150;Elena Tramontano;A;nm3565150;Elena Tramontano;A;nm3565150;Elena Tramontano;A;;
Charlotte Laurendeau;TRUE;Produzione Pathé;Additional Crew;La grande bellezza;charlotte laurendeau;;nm2904192;Charlotte Laurendeau;A;nm2904192;Charlotte Laurendeau;A;nm2904192;Charlotte Laurendeau;A;nm2904192;Charlotte Laurendeau;A;nm2904192;Charlotte Laurendeau;A;nm2904192;Charlotte Laurendeau;A;nm2904192;Charlotte Laurendeau;A;;
JULIE MORIN;TRUE;Production and Post Production Facilities Furnished Through;Additional Crew;Apocalypse Now;julie morin;;;JULIE MORIN;X;;JULIE MORIN;X;;JULIE MORIN;X;;JULIE MORIN;X;;JULIE MORIN;X;;JULIE MORIN;X;;JULIE MORIN;X;;
Emanuela Neresine;TRUE;Amministrazione per Pronos 94;Additional Crew;La grande bellezza;emanuela neresine;;nm6181372;Emanuela Neresine;A;nm6181372;Emanuela Neresine;A;nm6181372;Emanuela Neresine;A;nm6181372;Emanuela Neresine;A;nm6181372;Emanuela Neresine;A;nm6181372;Emanuela Neresine;A;nm6181372;Emanuela Neresine;A;;
KAREN FRERICHS;TRUE;Production and Post Production Facilities Furnished Through;Additional Crew;Apocalypse Now;karen frerichs;;nm1114003;Karen Frerichs;A;nm1114003;Karen Frerichs;A;nm1114003;Karen Frerichs;A;nm1114003;Karen Frerichs;A;nm1114003;Karen Frerichs;A;nm1114003;Karen Frerichs;A;nm1114003;Karen Frerichs;A;;
SEBASTIAN LUCK;TRUE;MOVE COORDINATORS;Additional Crew;Dark S01E09;sebastian luck;;nm5346099;Sebastian Luck;A;nm5346099;Sebastian Luck;A;nm5346099;Sebastian Luck;A;nm5346099;Sebastian Luck;A;nm5346099;Sebastian Luck;A;nm5346099;Sebastian Luck;A;nm5346099;Sebastian Luck;A;;
Caterina Felleca;TRUE;Amministrazione per Pronos 94;Additional Crew;La grande bellezza;caterina felleca;;nm6181374;Caterina Felleca;A;nm6181374;Caterina Felleca;A;nm6181374;Caterina Felleca;A;nm6181374;Caterina Felleca;A;nm6181374;Caterina Felleca;A;nm6181374;Caterina Felleca;A;nm6181374;Caterina Felleca;A;;
KATHERINE MORTON;TRUE;Production and Post Production Facilities Furnished Through;Additional Crew;Apocalypse Now;katherine morton;;nm2803153;Katherine Morton;A;nm2803153;Katherine Morton;A;nm2803153;Katherine Morton;A;nm2803153;Katherine Morton;A;nm2803153;Katherine Morton;A;nm2803153;Katherine Morton;A;nm2803153;Katherine Morton;A;;
Benedetta Barroero;TRUE;Stagisti;Additional Crew;La grande bellezza;benedetta barroero;;;Benedetta Barroero;X;;Benedetta Barroero;X;;Benedetta Barroero;X;;Benedetta Barroero;X;;Benedetta Barroero;X;;Benedetta Barroero;X;;Benedetta Barroero;X;;
Flore Saunois;TRUE;Stagiste;Additional Crew;La grande bellezza;flore saunois;;nm6179981;Flore Saunois;A;nm6179981;Flore Saunois;A;nm6179981;Flore Saunois;A;nm6179981;Flore Saunois;A;nm6179981;Flore Saunois;A;nm6179981;Flore Saunois;A;nm6179981;Flore Saunois;A;;
Michel Folco;TRUE;d'après la collection originale de;Additional Crew;Amelie;michel folco;;;Michel Folco;X;;Michel Folco;X;;Michel Folco;X;;Michel Folco;X;;Michel Folco;X;;Michel Folco;X;;Michel Folco;X;;
KRISTINE PETERSON;TRUE;Production and Post Production Facilities Furnished Through;Additional Crew;Apocalypse Now;kristine peterson;;;KRISTINE PETERSON;X;;KRISTINE PETERSON;X;;KRISTINE PETERSON;X;;KRISTINE PETERSON;X;;KRISTINE PETERSON;X;;KRISTINE PETERSON;X;;KRISTINE PETERSON;X;;
Oriana Buttacavoli;TRUE;Produzione Babe Films;Additional Crew;La grande bellezza;oriana buttacavoli;;nm3564436;Oriana Buttacavoli;A;nm3564436;Oriana Buttacavoli;A;nm3564436;Oriana Buttacavoli;A;nm3564436;Oriana Buttacavoli;A;nm3564436;Oriana Buttacavoli;A;nm3564436;Oriana Buttacavoli;A;nm3564436;Oriana Buttacavoli;A;;
BOB COLLINS;TRUE;Morgan Freeman's Stand-in;Additional Crew;Se7en;bob collins;;;BOB COLLINS;X;;BOB COLLINS;X;;BOB COLLINS;X;;BOB COLLINS;X;;BOB COLLINS;X;;BOB COLLINS;X;;BOB COLLINS;X;;
Alberto Meloni;TRUE;Stagista;Additional Crew;La grande bellezza;alberto meloni;;nm9889507;Alberto Meloni;A;nm9889507;Alberto Meloni;A;nm9889507;Alberto Meloni;A;nm9889507;Alberto Meloni;A;nm9889507;Alberto Meloni;A;nm9889507;Alberto Meloni;A;nm9889507;Alberto Meloni;A;;
THOMAS ZANDER;TRUE;SIGN LANGUAGE COACH;Additional Crew;Dark S01E09;thomas zander;;nm6105807;Thomas Zander;A;nm6105807;Thomas Zander;A;nm6105807;Thomas Zander;A;nm6105807;Thomas Zander;A;nm6105807;Thomas Zander;A;nm6105807;Thomas Zander;A;nm6105807;Thomas Zander;A;;
Patricia Van;TRUE;Assistante enfants;Additional Crew;Amelie;patricia van;;;Patricia Van;X;;Patricia Van;X;;Patricia Van;X;;Patricia Van;X;;Patricia Van;X;;Patricia Van;X;;Patricia Van;X;;
Conrad Maufe;TRUE;Researchers;Additional Crew;Planet Earth S01E10;conrad maufe;;nm1630323;Conrad H. Maufe;M;nm1630323;Conrad H. Maufe;M;nm1630323;Conrad H. Maufe;M;;Conrad Maufe;X;;Conrad Maufe;X;;Conrad Maufe;X;;Conrad Maufe;X;;
MITCHELL DUBIN;TRUE;Production and Post Production Facilities Furnished Through;Additional Crew;Apocalypse Now;mitchell dubin;;;MITCHELL DUBIN;X;;MITCHELL DUBIN;X;;MITCHELL DUBIN;X;;MITCHELL DUBIN;X;;MITCHELL DUBIN;X;;MITCHELL DUBIN;X;;MITCHELL DUBIN;X;;
Emilio White;TRUE;Field Assistants;Additional Crew;Planet Earth S01E10;emilio white;;nm1771332;Emilio White;A;nm1771332;Emilio White;A;nm1771332;Emilio White;A;nm1771332;Emilio White;A;nm1771332;Emilio White;A;nm1771332;Emilio White;A;nm1771332;Emilio White;A;;
Emma Peace;TRUE;Researchers;Additional Crew;Planet Earth S01E10;emma peace;;nm3897548;Emma Peace;A;nm3897548;Emma Peace;A;nm3897548;Emma Peace;A;nm3897548;Emma Peace;A;nm3897548;Emma Peace;A;nm3897548;Emma Peace;A;nm3897548;Emma Peace;A;;
Jeff Wilson;TRUE;Field Assistants;Additional Crew;Planet Earth S01E10;jeff wilson;;;Jeff Wilson;X;;Jeff Wilson;X;;Jeff Wilson;X;;Jeff Wilson;X;;Jeff Wilson;X;;Jeff Wilson;X;;Jeff Wilson;X;;
John Pike;TRUE;Field Assistants;Additional Crew;Planet Earth S01E10;john pike;;;John Pike;X;;John Pike;X;;John Pike;X;;John Pike;X;;John Pike;X;;John Pike;X;;John Pike;X;;
SHAUNA BEAL;TRUE;Assistants to Mr. Milchan;Additional Crew;Fight Club;shauna beal;;nm0063635;Shauna Beal;A;nm0063635;Shauna Beal;A;nm0063635;Shauna Beal;A;nm0063635;Shauna Beal;A;nm0063635;Shauna Beal;A;nm0063635;Shauna Beal;A;nm0063635;Shauna Beal;A;;
Patrick Pitavino;TRUE;Animaliers;Additional Crew;Amelie;patrick pitavino;;nm1176347;Patrick Pittavino;M;nm1176347;Patrick Pittavino;M;nm1176347;Patrick Pittavino;M;nm1176347;Patrick Pittavino;M;nm1176347;Patrick Pittavino;M;;Patrick Pitavino;X;;Patrick Pitavino;X;;
NANCY ELY;TRUE;Production and Post Production Facilities Furnished Through;Additional Crew;Apocalypse Now;nancy ely;;nm8016434;Nancy Kelly;M;nm8016434;Nancy Kelly;M;;NANCY ELY;X;;NANCY ELY;X;;NANCY ELY;X;;NANCY ELY;X;;NANCY ELY;X;Nancy Ely Swanson;nm1787261
ENRICO REINECKE;TRUE;MOVE COORDINATORS;Additional Crew;Dark S01E09;enrico reinecke;;nm8411570;Enrico Reinecke;A;nm8411570;Enrico Reinecke;A;nm8411570;Enrico Reinecke;A;nm8411570;Enrico Reinecke;A;nm8411570;Enrico Reinecke;A;nm8411570;Enrico Reinecke;A;nm8411570;Enrico Reinecke;A;;
RICH MALCHAR;TRUE;Assistant to Mr. Pitt;Additional Crew;Fight Club;rich malchar;;nm1004647;Rich Malchar;A;nm1004647;Rich Malchar;A;nm1004647;Rich Malchar;A;nm1004647;Rich Malchar;A;nm1004647;Rich Malchar;A;nm1004647;Rich Malchar;A;nm1004647;Rich Malchar;A;;
Roland Hilgartner;TRUE;Field Assistants;Additional Crew;Planet Earth S01E10;roland hilgartner;;nm3896250;Roland Hilgartner;A;nm3896250;Roland Hilgartner;A;nm3896250;Roland Hilgartner;A;nm3896250;Roland Hilgartner;A;nm3896250;Roland Hilgartner;A;nm3896250;Roland Hilgartner;A;nm3896250;Roland Hilgartner;A;;
PAUL BROUCEK;TRUE;Production and Post Production Facilities Furnished Through;Additional Crew;Apocalypse Now;paul broucek;;;PAUL BROUCEK;X;;PAUL BROUCEK;X;;PAUL BROUCEK;X;;PAUL BROUCEK;X;;PAUL BROUCEK;X;;PAUL BROUCEK;X;;PAUL BROUCEK;X;;
PAUL GREGORY;TRUE;Military Advisors;Additional Crew;Apocalypse Now;paul gregory;;;PAUL GREGORY;X;;PAUL GREGORY;X;;PAUL GREGORY;X;;PAUL GREGORY;X;;PAUL GREGORY;X;;PAUL GREGORY;X;;PAUL GREGORY;X;;
Tom Clarke;TRUE;Researchers;Additional Crew;Planet Earth S01E10;tom clarke;;;Tom Clarke;X;;Tom Clarke;X;;Tom Clarke;X;;Tom Clarke;X;;Tom Clarke;X;;Tom Clarke;X;;Tom Clarke;X;;
JAMES MILLER;TRUE;Production and Post Production Facilities Furnished Through;Additional Crew;Apocalypse Now;james miller;;;JAMES MILLER;X;;JAMES MILLER;X;;JAMES MILLER;X;;JAMES MILLER;X;;JAMES MILLER;X;;JAMES MILLER;X;;JAMES MILLER;X;;
Valérie MEISSONNIER;TRUE;Administration;Additional Crew;Maigret S03E01;valerie meissonnier;;nm0577103;Valérie Meissonnier;A;nm0577103;Valérie Meissonnier;A;nm0577103;Valérie Meissonnier;A;nm0577103;Valérie Meissonnier;A;nm0577103;Valérie Meissonnier;A;nm0577103;Valérie Meissonnier;A;nm0577103;Valérie Meissonnier;A;;
MICHAEL POPSO;TRUE;Production and Post Production Facilities Furnished Through;Additional Crew;Apocalypse Now;michael popso;;nm3988096;Michael Popso;A;nm3988096;Michael Popso;A;nm3988096;Michael Popso;A;nm3988096;Michael Popso;A;nm3988096;Michael Popso;A;nm3988096;Michael Popso;A;nm3988096;Michael Popso;A;;
DAVID WIRT;TRUE;Production and Post Production Facilities Furnished Through;Additional Crew;Apocalypse Now;david wirt;;nm3987476;David Wirt;A;nm3987476;David Wirt;A;nm3987476;David Wirt;A;nm3987476;David Wirt;A;nm3987476;David Wirt;A;nm3987476;David Wirt;A;nm3987476;David Wirt;A;;
JESSE BREWER;TRUE;Technical Advisor;Additional Crew;Hill Street Blues S01E13;jesse brewer;;nm0108175;Jesse Brewer;A;nm0108175;Jesse Brewer;A;nm0108175;Jesse Brewer;A;nm0108175;Jesse Brewer;A;nm0108175;Jesse Brewer;A;nm0108175;Jesse Brewer;A;nm0108175;Jesse Brewer;A;;
Riccardo Marchegiani;TRUE;Produzione Babe Films;Additional Crew;La grande bellezza;riccardo marchegiani;;;Riccardo Marchegiani;X;;Riccardo Marchegiani;X;;Riccardo Marchegiani;X;;Riccardo Marchegiani;X;;Riccardo Marchegiani;X;;Riccardo Marchegiani;X;;Riccardo Marchegiani;X;;
LIZA RANDOL;TRUE;Production and Post Production Facilities Furnished Through;Additional Crew;Apocalypse Now;liza randol;;nm0709853;Liz Randol;M;nm0709853;Liz Randol;M;nm0709853;Liz Randol;M;nm0709853;Liz Randol;M;;LIZA RANDOL;X;;LIZA RANDOL;X;;LIZA RANDOL;X;;
Nicolas Nicole;TRUE;Stagiaires;Additional Crew;Amelie;nicolas nicole;;;Nicolas Nicole;X;;Nicolas Nicole;X;;Nicolas Nicole;X;;Nicolas Nicole;X;;Nicolas Nicole;X;;Nicolas Nicole;X;;Nicolas Nicole;X;;
Sara Calvanico;TRUE;Produzione Indigo Film;Additional Crew;La grande bellezza;sara calvanico;;;Sara Calvanico;X;;Sara Calvanico;X;;Sara Calvanico;X;;Sara Calvanico;X;;Sara Calvanico;X;;Sara Calvanico;X;;Sara Calvanico;X;;
Sara Cavagnini;TRUE;Stagiste;Additional Crew;La grande bellezza;sara cavagnini;;nm6179980;Sara Cavagnini;A;nm6179980;Sara Cavagnini;A;nm6179980;Sara Cavagnini;A;nm6179980;Sara Cavagnini;A;nm6179980;Sara Cavagnini;A;nm6179980;Sara Cavagnini;A;nm6179980;Sara Cavagnini;A;;
MARIE AHRENDT;TRUE;CHAPERONE;Additional Crew;Dark S01E09;marie ahrendt;;nm7832367;Marie Ahrendt;A;nm7832367;Marie Ahrendt;A;nm7832367;Marie Ahrendt;A;nm7832367;Marie Ahrendt;A;nm7832367;Marie Ahrendt;A;nm7832367;Marie Ahrendt;A;nm7832367;Marie Ahrendt;A;;
Olivier Chalifour;TRUE;Stagiaire;Additional Crew;Amelie;olivier chalifour;;nm16344768;Olivier Chalifoux;M;nm16344768;Olivier Chalifoux;M;nm16344768;Olivier Chalifoux;M;nm16344768;Olivier Chalifoux;M;;Olivier Chalifour;X;;Olivier Chalifour;X;;Olivier Chalifour;X;Assente;
Umberto Dell'Isola;TRUE;Amministrazione per Pronos 94;Additional Crew;La grande bellezza;umberto dell isola;;nm6181373;Umberto Dell'Isola;A;nm6181373;Umberto Dell'Isola;A;nm6181373;Umberto Dell'Isola;A;nm6181373;Umberto Dell'Isola;A;nm6181373;Umberto Dell'Isola;A;nm6181373;Umberto Dell'Isola;A;nm6181373;Umberto Dell'Isola;A;;
Valentina Viscione;TRUE;Amministrazione per Pronos 94;Additional Crew;La grande bellezza;valentina viscione;;nm6181371;Valentina Viscione;A;nm6181371;Valentina Viscione;A;nm6181371;Valentina Viscione;A;nm6181371;Valentina Viscione;A;nm6181371;Valentina Viscione;A;nm6181371;Valentina Viscione;A;nm6181371;Valentina Viscione;A;;
Valeria Di Graziano;TRUE;Produzione Indigo Film;Additional Crew;La grande bellezza;valeria di graziano;;nm4939027;Valeria Di Graziano;A;nm4939027;Valeria Di Graziano;A;nm4939027;Valeria Di Graziano;A;nm4939027;Valeria Di Graziano;A;nm4939027;Valeria Di Graziano;A;nm4939027;Valeria Di Graziano;A;nm4939027;Valeria Di Graziano;A;;
Valerio Azzali;TRUE;Backstage;Additional Crew;La grande bellezza;valerio azzali;;nm2356918;Valerio Azzali;A;nm2356918;Valerio Azzali;A;nm2356918;Valerio Azzali;A;nm2356918;Valerio Azzali;A;nm2356918;Valerio Azzali;A;nm2356918;Valerio Azzali;A;nm2356918;Valerio Azzali;A;;
Zoe Giudice;TRUE;Stagisti;Additional Crew;La grande bellezza;zoe giudice;;;Zoe Giudice;X;;Zoe Giudice;X;;Zoe Giudice;X;;Zoe Giudice;X;;Zoe Giudice;X;;Zoe Giudice;X;;Zoe Giudice;X;;
CLAUDIA ALOISI;TRUE;delegato RAI al programma;Additional Crew;La piovra S01E02;claudia aloisi;;nm0022064;Claudia Aloisi;A;nm0022064;Claudia Aloisi;A;nm0022064;Claudia Aloisi;A;nm0022064;Claudia Aloisi;A;nm0022064;Claudia Aloisi;A;nm0022064;Claudia Aloisi;A;nm0022064;Claudia Aloisi;A;;
MADELINE LEE WERNER;TRUE;Production and Post Production Facilities Furnished Through;Additional Crew;Apocalypse Now;madeline lee werner;;nm3987826;Madeline Lee Werner;A;nm3987826;Madeline Lee Werner;A;nm3987826;Madeline Lee Werner;A;nm3987826;Madeline Lee Werner;A;nm3987826;Madeline Lee Werner;A;nm3987826;Madeline Lee Werner;A;nm3987826;Madeline Lee Werner;A;;
Ariane HEYRAUD;TRUE;Direction littéraire T.S.R.;Additional Crew;Maigret S03E01;ariane heyraud;;nm0382344;Ariane Heyraud;A;nm0382344;Ariane Heyraud;A;nm0382344;Ariane Heyraud;A;nm0382344;Ariane Heyraud;A;nm0382344;Ariane Heyraud;A;nm0382344;Ariane Heyraud;A;nm0382344;Ariane Heyraud;A;;
Juliette Binaud;TRUE;Stagiaires;Additional Crew;Amelie;juliette binaud;;nm14411444;Juliette Blind;M;nm14411444;Juliette Blind;M;;Juliette Binaud;X;;Juliette Binaud;X;;Juliette Binaud;X;;Juliette Binaud;X;;Juliette Binaud;X;;
Paolo Centore;TRUE;Produzione Indigo Film;Additional Crew;La grande bellezza;paolo centore;;nm1401785;Paolo Centore;A;nm1401785;Paolo Centore;A;nm1401785;Paolo Centore;A;nm1401785;Paolo Centore;A;nm1401785;Paolo Centore;A;nm1401785;Paolo Centore;A;nm1401785;Paolo Centore;A;;
VALERIE KOUTNIK;TRUE;Production and Post Production Facilities Furnished Through;Additional Crew;Apocalypse Now;valerie koutnik;;;VALERIE KOUTNIK;X;;VALERIE KOUTNIK;X;;VALERIE KOUTNIK;X;;VALERIE KOUTNIK;X;;VALERIE KOUTNIK;X;;VALERIE KOUTNIK;X;;VALERIE KOUTNIK;X;;
Roberto Pompei;TRUE;Team Cattleya;Additional Crew;Romanzo criminale S01E01;roberto pompei;;;Roberto Pompei;X;;Roberto Pompei;X;;Roberto Pompei;X;;Roberto Pompei;X;;Roberto Pompei;X;;Roberto Pompei;X;;Roberto Pompei;X;;
KAROLIS GRIGALIUNAS;TRUE;Lithuanian Animal Trainer;Additional Crew;Chernobyl S01E01;karolis grigaliunas;;nm13054022;Karolis Grigaliunas;A;nm13054022;Karolis Grigaliunas;A;nm13054022;Karolis Grigaliunas;A;nm13054022;Karolis Grigaliunas;A;nm13054022;Karolis Grigaliunas;A;nm13054022;Karolis Grigaliunas;A;nm13054022;Karolis Grigaliunas;A;;
LINDSEY JAFFIN;TRUE;interns;Additional Crew;Eternal Sunshine of the Spotless Mind;lindsey jaffin;;nm0415516;Lindsey Jaffin;A;nm0415516;Lindsey Jaffin;A;nm0415516;Lindsey Jaffin;A;nm0415516;Lindsey Jaffin;A;nm0415516;Lindsey Jaffin;A;nm0415516;Lindsey Jaffin;A;nm0415516;Lindsey Jaffin;A;;
DONALD KAUFMAN;TRUE;Production and Post Production Facilities Furnished Through;Additional Crew;Apocalypse Now;donald kaufman;;nm3987443;Donald Kaufman;A;nm3987443;Donald Kaufman;A;nm3987443;Donald Kaufman;A;nm3987443;Donald Kaufman;A;nm3987443;Donald Kaufman;A;nm3987443;Donald Kaufman;A;nm3987443;Donald Kaufman;A;;
VANESSA RUIZ-LÁRREA;TRUE;Directora Comercial;Additional Crew;El desorden que dejas S01E03;vanessa ruiz larrea;;nm1176479;Vanessa Ruiz-Larrea;A;nm1176479;Vanessa Ruiz-Larrea;A;nm1176479;Vanessa Ruiz-Larrea;A;nm1176479;Vanessa Ruiz-Larrea;A;nm1176479;Vanessa Ruiz-Larrea;A;nm1176479;Vanessa Ruiz-Larrea;A;nm1176479;Vanessa Ruiz-Larrea;A;;
JILL McCULLOUGH;TRUE;Dialect Coaches;Additional Crew;Chernobyl S01E01;jill mccullough;;nm0567200;Jill McCullough;A;nm0567200;Jill McCullough;A;nm0567200;Jill McCullough;A;nm0567200;Jill McCullough;A;nm0567200;Jill McCullough;A;nm0567200;Jill McCullough;A;nm0567200;Jill McCullough;A;;
JO VAUGHAN;TRUE;Animal Handlers;Additional Crew;Chernobyl S01E01;jo vaughan;;;JO VAUGHAN;X;;JO VAUGHAN;X;;JO VAUGHAN;X;;JO VAUGHAN;X;;JO VAUGHAN;X;;JO VAUGHAN;X;;JO VAUGHAN;X;;
CHRISTOPHER NEDDERSON;TRUE;Production and Post Production Facilities Furnished Through;Additional Crew;Apocalypse Now;christopher nedderson;;nm3987661;Christopher Nedderson;A;nm3987661;Christopher Nedderson;A;nm3987661;Christopher Nedderson;A;nm3987661;Christopher Nedderson;A;nm3987661;Christopher Nedderson;A;nm3987661;Christopher Nedderson;A;nm3987661;Christopher Nedderson;A;;
