nome;is_person;role_detail;role_group;numero_episodio;imdb_nconst_88;nome_corretto_imdb_88;imdb_action_88;imdb_nconst_90;nome_corretto_imdb_90;imdb_action_90;imdb_nconst_92;nome_corretto_imdb_92;imdb_action_92;imdb_nconst_94;nome_corretto_imdb_94;imdb_action_94;imdb_nconst_96;nome_corretto_imdb_96;imdb_action_96;imdb_nconst_98;nome_corretto_imdb_98;imdb_action_98;imdb_nconst_99;nome_corretto_imdb_99;imdb_action_99;HUMAN nome imdb corretto;HUMAN codice imdb corretto
ALAN AFRIAT;TRUE;Film Editor;Editors;The World At War S01E03;nm0012740;Alan Afriat;A;nm0012740;Alan Afriat;A;nm0012740;Alan Afriat;A;nm0012740;Alan Afriat;A;nm0012740;Alan Afriat;A;nm0012740;Alan Afriat;A;nm0012740;Alan Afriat;A;;
ALAN ALVARADO;TRUE;Propmakers;Property Department;Se7en;nm0023127;Alan Alvarado;A;nm0023127;Alan Alvarado;A;nm0023127;Alan Alvarado;A;nm0023127;Alan Alvarado;A;nm0023127;Alan Alvarado;A;nm0023127;Alan Alvarado;A;nm0023127;Alan Alvarado;A;;
ALAN MYERS;TRUE;Drivers;Transportation Department;Se7en;;ALAN MYERS;X;;ALAN MYERS;X;;ALAN MYERS;X;;ALAN MYERS;X;;ALAN MYERS;X;;ALAN MYERS;X;;ALAN MYERS;X;;
ALAN OLINEY;TRUE;Stunts;Stunts;Se7en;nm0646453;Alan Oliney;A;nm0646453;Alan Oliney;A;nm0646453;Alan Oliney;A;nm0646453;Alan Oliney;A;nm0646453;Alan Oliney;A;nm0646453;Alan Oliney;A;nm0646453;Alan Oliney;A;;
ALAN RACHINS;TRUE;Written by;Writers;Hill Street Blues S01E13;nm0705118;Alan Rachins;A;nm0705118;Alan Rachins;A;nm0705118;Alan Rachins;A;nm0705118;Alan Rachins;A;nm0705118;Alan Rachins;A;nm0705118;Alan Rachins;A;nm0705118;Alan Rachins;A;;
Alastair Fothergill;TRUE;Series Producer;Producers;Planet Earth S01E10;nm0288144;Alastair Fothergill;A;nm0288144;Alastair Fothergill;A;nm0288144;Alastair Fothergill;A;nm0288144;Alastair Fothergill;A;nm0288144;Alastair Fothergill;A;nm0288144;Alastair Fothergill;A;nm0288144;Alastair Fothergill;A;;
ALBA AGUIAR RODRÍGUEZ;TRUE;Ayudantes de Vestuario;Costume and Wardrobe Department;El desorden que dejas S01E03;nm13155977;Alba Aguilar Rodríguez;M;nm13155977;Alba Aguilar Rodríguez;M;nm13155977;Alba Aguilar Rodríguez;M;nm13155977;Alba Aguilar Rodríguez;M;nm13155977;Alba Aguilar Rodríguez;M;nm13155977;Alba Aguilar Rodríguez;M;;ALBA AGUIAR RODRÍGUEZ;X;;
ALBA SANCHEZ-SERRANO GONZALEZ;TRUE;Prep;Visual Effects;Chernobyl S01E01;;ALBA SANCHEZ-SERRANO GONZALEZ;X;;ALBA SANCHEZ-SERRANO GONZALEZ;X;;ALBA SANCHEZ-SERRANO GONZALEZ;X;;ALBA SANCHEZ-SERRANO GONZALEZ;X;;ALBA SANCHEZ-SERRANO GONZALEZ;X;;ALBA SANCHEZ-SERRANO GONZALEZ;X;;ALBA SANCHEZ-SERRANO GONZALEZ;X;;
ALBERT HALL;TRUE;Chief;Cast;Apocalypse Now;;ALBERT HALL;X;;ALBERT HALL;X;;ALBERT HALL;X;;ALBERT HALL;X;;ALBERT HALL;X;;ALBERT HALL;X;;ALBERT HALL;X;;
ALBERT HALL;TRUE;;Cast;Apocalypse Now;;ALBERT HALL;X;;ALBERT HALL;X;;ALBERT HALL;X;;ALBERT HALL;X;;ALBERT HALL;X;;ALBERT HALL;X;;ALBERT HALL;X;;
ALBERT MARTÍNEZ ADELL;TRUE;Coordinador SFX - In Extremis Film Services;Special Effects;El desorden que dejas S01E03;;ALBERT MARTÍNEZ ADELL;X;;ALBERT MARTÍNEZ ADELL;X;;ALBERT MARTÍNEZ ADELL;X;;ALBERT MARTÍNEZ ADELL;X;;ALBERT MARTÍNEZ ADELL;X;;ALBERT MARTÍNEZ ADELL;X;;ALBERT MARTÍNEZ ADELL;X;;
Alberte Garo;TRUE;Figuration;Casting Directors;Amelie;;Alberte Garo;X;;Alberte Garo;X;;Alberte Garo;X;;Alberte Garo;X;;Alberte Garo;X;;Alberte Garo;X;;Alberte Garo;X;;
ALBERTE VÁZQUEZ;TRUE;Foquista A;Camera and Electrical Department;El desorden que dejas S01E03;nm5649803;Alberte Vázquez;A;nm5649803;Alberte Vázquez;A;nm5649803;Alberte Vázquez;A;nm5649803;Alberte Vázquez;A;nm5649803;Alberte Vázquez;A;nm5649803;Alberte Vázquez;A;nm5649803;Alberte Vázquez;A;;
Alberto Aguirre;TRUE;Mariachi festa;Cast;La grande bellezza;;Alberto Aguirre;X;;Alberto Aguirre;X;;Alberto Aguirre;X;;Alberto Aguirre;X;;Alberto Aguirre;X;;Alberto Aguirre;X;;Alberto Aguirre;X;;
Alberto Baldini;TRUE;si ringraziano;Thanks;La grande bellezza;;Alberto Baldini;X;;Alberto Baldini;X;;Alberto Baldini;X;;Alberto Baldini;X;;Alberto Baldini;X;;Alberto Baldini;X;;Alberto Baldini;X;;
ALBERTO BARTOLOMEI;TRUE;FONICI;Sound Department;8 1-2;nm0059044;Alberto Bartolomei;A;nm0059044;Alberto Bartolomei;A;nm0059044;Alberto Bartolomei;A;nm0059044;Alberto Bartolomei;A;nm0059044;Alberto Bartolomei;A;nm0059044;Alberto Bartolomei;A;nm0059044;Alberto Bartolomei;A;;
Alberto Blasi;TRUE;Capo Truccatore;Makeup Department;Romanzo criminale S01E01;nm0087712;Alberto Blasi;A;nm0087712;Alberto Blasi;A;nm0087712;Alberto Blasi;A;nm0087712;Alberto Blasi;A;nm0087712;Alberto Blasi;A;nm0087712;Alberto Blasi;A;nm0087712;Alberto Blasi;A;;
